source_acronym,source_structure_id,n_units_sampled,matched_injection_acronym,matched_injection_structure_id,n_injection_experiments,target_structure_id,target_acronym,n_experiments,mean_projection_density,median_projection_density,mean_projection_energy,median_projection_energy,mean_normalized_projection_volume,median_normalized_projection_volume
VISp,385,65,VISp,385,33,721,VISp4,33,0.12084635787097442,0.0754549389643863,363.6518609066013,99.6502990722656,0.2076462187833768,0.202728451048227
VISp,385,65,VISp,385,33,778,VISp5,33,0.12030667010121572,0.0728002190589905,358.9836521533328,120.952433241589,0.35458158751113306,0.319087499050693
VISam,394,63,VISam,394,3,1046,VISam6a,3,0.47002650718513056,0.462846148069353,1760.0228523556327,1534.13224806419,0.3324944592225185,0.357962518150551
VISam,394,63,VISam,394,3,433,VISam5,3,0.39424797626697244,0.35740918044726,1516.9693507993488,1203.1693578695,0.42132812948816534,0.425930310102059
VISam,394,63,VISam,394,3,441,VISam6b,3,0.36029661436574567,0.33654001442212,1067.5135835525389,1037.64051373147,0.04712310830569945,0.0518354658097227
VISam,394,63,VISam,394,3,257,VISpm6a,3,0.3489605078095593,0.319792921023455,1066.432636725518,610.501708984375,0.2911364400878028,0.30405454928678
VISam,394,63,VISam,394,3,394,VISam,3,0.3426782790923645,0.34282555480253,1214.0899166133158,926.712254950333,1.3904697028402628,1.61350742362219
VISam,394,63,VISam,394,3,312782566,VISa6a,3,0.3382911885122017,0.289848307130212,1146.0882630096235,638.492534384987,0.41987192401540324,0.516880750605093
VISam,394,63,VISam,394,3,401,VISam4,3,0.31779123571820356,0.302145514763899,1078.3600535863932,787.471824624174,0.09203283680269,0.108152646575441
VISam,394,63,VISam,394,3,1066,VISam2/3,3,0.2999817316513676,0.300627772944468,960.374245130037,632.207695572027,0.32143138611550603,0.404506627312581
VISam,394,63,VISam,394,3,469,VISpm6b,3,0.29179757127515366,0.210783213376999,668.1112324473431,294.160827636719,0.04775026658206801,0.0366158916219943
VISam,394,63,VISam,394,3,312782570,VISa6b,3,0.2760611259128767,0.244228333897922,1033.2194294012675,783.642395019531,0.061129970065380644,0.0740905472618739
VISam,394,63,VISam,394,3,312782562,VISa5,3,0.2355891504801352,0.193861866790567,813.9975731226396,514.312878542957,0.4617614852881416,0.582623552755097
VISam,394,63,VISam,394,3,565,VISpm5,3,0.23523698182180727,0.173100305524597,771.4224370329827,342.933044433594,0.3625983405847737,0.323775888128489
VISam,394,63,VISam,394,3,533,VISpm,3,0.23095876688905814,0.183101720120262,618.637255735985,317.797693591502,1.3597534547583483,1.25098880372964
VISam,394,63,VISam,394,3,281,VISam1,3,0.2305314579846505,0.22517774062508,769.7842922972071,398.956665543469,0.17605978290568405,0.233459645133023
VISam,394,63,VISam,394,3,312782546,VISa,3,0.21880599527088038,0.166080696172654,675.2727952233295,351.04431142803,1.753741018870298,2.10001677383774
VISam,394,63,VISam,394,3,601,VISal6a,3,0.2065681581552018,0.225946843291883,391.799739207719,278.927057924554,0.13570847969464236,0.173155892151995
VISam,394,63,VISam,394,3,805,VISpm1,3,0.2044169219105527,0.157408527533107,453.5051611137768,295.169586181641,0.2300126078994319,0.195500678649275
VISam,394,63,VISam,394,3,279,RSPagl6b,3,0.20019131870729645,0.192063435912132,311.53591756226865,239.880111694336,0.04035645624657773,0.037662575456568
VISam,394,63,VISam,394,3,501,VISpm4,3,0.1946038914470908,0.143360675264965,505.9884094447908,201.196990966797,0.105799275679196,0.0922888685054751
VISam,394,63,VISam,394,3,41,VISpm2/3,3,0.19214937688252226,0.146738962794468,410.7763844951222,197.327117919922,0.32245652392507523,0.27933014773417
VISam,394,63,VISam,394,3,906,RSPagl6a,3,0.18871224295499528,0.187220931053162,288.10884474308773,233.441436767578,0.4550689109636704,0.478894715111176
VISam,394,63,VISam,394,3,312782550,VISa1,3,0.18774463705873365,0.122662086979706,531.9648045674027,152.411803233162,0.24605413631540232,0.258300098807439
VISam,394,63,VISam,394,3,312782554,VISa2/3,3,0.17688166162820684,0.126395381382965,458.48926347521603,206.300597290168,0.4201838619838847,0.44523403712413
VISam,394,63,VISam,394,3,312782558,VISa4,3,0.16478920929990326,0.136908089174441,464.2673453262639,273.278694477849,0.14473964120208632,0.157218031139041
VISam,394,63,VISam,394,3,274,RSPd6a,3,0.158538116384654,0.152885690331459,222.1583386519388,164.66015625,0.6984642533313932,0.717835170394599
VISam,394,63,VISam,394,3,321,SubG,3,0.1585068461938829,0.126507356762886,430.28934720685635,135.468536376953,0.02400314904228655,0.0210843119635546
VISam,394,63,VISam,394,3,330,RSPd6b,3,0.15802436725872088,0.154622541115769,175.93463258215874,125.264072808055,0.028954346383382186,0.0239154840502631
VISam,394,63,VISam,394,3,22,PTLp,3,0.15672770037873798,0.137078770852138,421.20030406886764,224.748785607257,2.1924724396216018,2.8589231438245
VISam,394,63,VISam,394,3,33,VISp6a,3,0.15381889696311965,0.117558784782887,225.23243712769468,129.358932495117,0.9721344835203273,0.805565576078262
VISam,394,63,VISam,394,3,305,VISp6b,3,0.1467706721601204,0.142641996476266,182.02750844419938,129.812362670898,0.14273875631644364,0.152834924198926
grey,8,56,grey,8,498,609,SPA,498,0.0278276985208986,0.0019568484121444503,30.094776857069036,0.7886103093624115,0.007338027158382597,0.00099167383206035
grey,8,56,grey,8,498,74,VISl6a,498,0.027702653294738287,0.0,77.6540221420091,0.0,0.015429578747174256,0.0
grey,8,56,grey,8,498,121,VISl6b,498,0.025951683708866018,0.0,61.87165273011084,0.0,0.002842344002193919,0.0
grey,8,56,grey,8,498,549009211,MA3,498,0.025944146901074258,0.00038092033718415005,43.203565712398735,0.15431568794300898,0.0008824553630351682,2.5553308391920247e-05
grey,8,56,grey,8,498,414,SPFm,498,0.02435036017995108,0.0021595848720712,29.284294401390742,0.967674523591995,0.0034942792795476245,0.0006092669014582501
grey,8,56,grey,8,498,422,SPFp,498,0.024256679569498455,0.00091957757831545,30.627953199497014,0.31582675874233246,0.007665087051067311,0.00042711096391365
grey,8,56,grey,8,498,406,SPF,498,0.0242052614385714,0.0019427506855111,29.857749380029677,0.741926638871544,0.011159366330614961,0.0017195585404694998
grey,8,56,grey,8,498,946,PH,498,0.024150621317315588,0.0010588569617046499,34.28320299928986,0.440446530986572,0.03290155933974027,0.00285849899711315
grey,8,56,grey,8,498,560581559,Xi,498,0.023910207204819237,0.00154574279440565,28.244964430720266,0.7753008547749655,0.004303047876806312,0.00039770856232785
grey,8,56,grey,8,498,312782594,VISli6a,498,0.023882514925086452,0.0,56.005093703432536,0.0,0.0057404062932027095,0.0
grey,8,56,grey,8,498,287,BAC,497,0.02361602623485998,4.95593244930672e-06,59.170782931070946,0.0011372757144272,0.00035265808408005514,2.32800713133267e-07
grey,8,56,grey,8,498,312782648,VISpor6a,498,0.023320720459400326,4.83630232559583e-06,55.57813627452436,0.0015952574192084502,0.012673866912002148,2.12939413477133e-06
grey,8,56,grey,8,498,576073704,PeF,498,0.023279685910034074,0.00020907765342545,52.76141134589531,0.08474903181195259,0.009148451774536031,0.00015992697732229998
grey,8,56,grey,8,498,173,RCH,498,0.022810213114417624,4.061647450726015e-05,56.46445586121673,0.0073749812164967,0.005467907983524105,4.0907305771058247e-05
grey,8,56,grey,8,498,975,EW,498,0.02273126264133767,0.00103979581737515,17.76359076501908,0.36581884115288454,0.0012224297670356261,0.00011631670044395001
grey,8,56,grey,8,498,305,VISp6b,498,0.022299146129460407,3.33135799266492e-06,42.85885928044029,0.0008096644742975,0.010485233480052033,1.771862942408565e-06
grey,8,56,grey,8,498,63,PVHd,498,0.022195174791063144,0.00044027061012915,39.004457848544696,0.211727528957875,0.005130904932596975,0.000208519092141
grey,8,56,grey,8,498,312782598,VISli6b,498,0.0219979422284696,0.0,46.28134375600296,0.0,0.0011123200380937519,0.0
grey,8,56,grey,8,498,549009203,RPF,498,0.021983242337281737,0.00064605851768945,22.33715140498296,0.25409988378933546,0.003120614414341002,0.00016204377230494998
grey,8,56,grey,8,498,181,RE,498,0.021479895119859302,0.00168218309722265,27.535178410509513,0.8102233573593356,0.0191540935844308,0.00238625770614265
grey,8,56,grey,8,498,33,VISp6a,498,0.02129395958272569,5.169092300540735e-06,46.34135711594101,0.0017647351940945498,0.06422143634657165,1.32887637068112e-05
grey,8,56,grey,8,498,1077,PR,498,0.021220902831651713,0.00112360633222045,29.833734935494327,0.5657892071245185,0.006793465544360595,0.00056792971875515
grey,8,56,grey,8,498,544,CEAc,498,0.021189793041366263,0.00015317304496415002,44.06858212429364,0.07551435033673065,0.01359501477808899,0.00015228435158244998
grey,8,56,grey,8,498,525,SUM,498,0.021161267594313804,0.0005436287048512,33.44324179976329,0.181126445531845,0.010337415122266876,0.0007435670005443999
grey,8,56,grey,8,498,601,VISal6a,498,0.021102642423664116,0.0,37.82472383576042,0.0,0.007613006398423286,0.0
grey,8,56,grey,8,498,559,CEAm,498,0.020871143131724803,0.00020938942907375,42.82803592224418,0.09680814668536189,0.02843705777679034,0.0006364020553675501
grey,8,56,grey,8,498,54,mfb,498,0.0208071263176243,0.00045922582955914995,24.98033406738631,0.1468206450729245,0.0021133761366276486,8.60166915986739e-05
grey,8,56,grey,8,498,312782652,VISpor6b,498,0.020790861991243786,2.8623957058987753e-09,44.8497600635089,5.850925219874625e-07,0.0021139448417576623,3.62860479701673e-10
grey,8,56,grey,8,498,523,MPO,497,0.02064465644609901,6.42628510831855e-05,41.30391435441992,0.0292130503803492,0.017439068364495856,0.0001545344055476
grey,8,56,grey,8,498,364,PSTN,498,0.020639225437180442,0.00043765429203165005,26.86800546721442,0.196145661175251,0.006441340761255597,0.00031227672984600005
VISal,402,46,VISal,402,1,249,AUDpo6a,1,0.5298011749225057,0.517739504348396,990.1226317974683,958.16176441096,0.25136597767643315,0.290334643236422
VISal,402,46,VISal,402,1,643,AUDpo2/3,1,0.4445763269336844,0.442577448270269,1028.7940165877792,1022.05430623306,0.4162963794063799,0.499857455742119
VISal,402,46,VISal,402,1,696,AUDpo1,1,0.442206816856499,0.442206820799218,1273.5652315447048,1273.56523198763,0.32250685874961,0.386138295478792
VISal,402,46,VISal,402,1,1027,AUDpo,1,0.43648609734463806,0.426748539446936,991.1082659269968,959.679247410604,1.6057726502635,1.91638612592873
VISal,402,46,VISal,402,1,456,AUDpo6b,1,0.4182650701664146,0.414290668506103,583.4739158090948,575.955614309611,0.0462304873081666,0.0555887352131702
VISal,402,46,VISal,402,1,791,AUDpo5,1,0.41412226078427,0.389845750257855,964.9130859688543,890.086929415352,0.40764603632087065,0.498045997190025
VISal,402,46,VISal,402,1,601,VISal6a,1,0.3756490649043183,0.366772257166702,670.9199848127528,649.981893525175,0.25223042303659327,0.313943534766373
VISal,402,46,VISal,402,1,759,AUDpo4,1,0.36900577917235894,0.359296350912387,601.8671066473247,579.190972957111,0.16172691080203724,0.186420999068197
VISal,402,46,VISal,402,1,156,AUDd6a,1,0.36782254240736134,0.36151273434832,535.5763811740053,522.788225553266,0.41186556030218063,0.460988415224927
VISal,402,46,VISal,402,1,527,AUDd1,1,0.338829265402745,0.338829268118711,516.0527845393983,516.052778056671,0.43177555391357997,0.489034137591124
VISal,402,46,VISal,402,1,649,VISal6b,1,0.3354228523762357,0.332314442810813,490.44588688886535,483.952101584565,0.04680186252880556,0.0562164128932129
VISal,402,46,VISal,402,1,1011,AUDd,1,0.31758476176932,0.313972274440262,482.29621348934205,474.741855949563,2.3980551124304665,2.80073422930699
VISal,402,46,VISal,402,1,243,AUDd6b,1,0.31716089490970967,0.312486038920909,405.8326869438756,397.184240946373,0.0592315077523444,0.067512443027267
VISal,402,46,VISal,402,1,1074,VISal1,1,0.31359369627017974,0.308892632167912,583.5242040047078,572.322539534873,0.22860729319390002,0.292492524252188
VISal,402,46,VISal,402,1,252,AUDd5,1,0.3103637939957147,0.300909756501724,536.0255195782087,515.32173695728,0.627011557120409,0.776068296787377
VISal,402,46,VISal,402,1,600,AUDd2/3,1,0.3078355884833363,0.307723506177433,438.48109483436633,438.254930010912,0.6512869023616586,0.748578170642963
VISal,402,46,VISal,402,1,233,VISal5,1,0.29180420605365626,0.277841125965839,626.7274458027267,593.082380895734,0.3373892178387439,0.464551056805171
VISal,402,46,VISal,402,1,402,VISal,1,0.28660121367447927,0.279131566779756,512.0380228430395,495.727745230977,1.303468931669893,1.69756804128764
VISal,402,46,VISal,402,1,735,AUDp1,1,0.27896882756235636,0.278968830814434,338.36627219976873,338.366265024599,0.6770315695672876,0.830962774028532
VISal,402,46,VISal,402,1,954,AUDp6a,1,0.268158507834186,0.26815851029846,293.75212199538987,293.752131672205,0.5167241753993,0.607319352165438
VISal,402,46,VISal,402,1,678,AUDd4,1,0.26287739367291135,0.259910624951267,360.19290276376665,354.886180520304,0.2168840309802926,0.25855276603333
VISal,402,46,VISal,402,1,905,VISal2/3,1,0.2505215337302359,0.245655053980968,381.51033694978423,372.361531479236,0.30482985684922753,0.391122869891611
VISal,402,46,VISal,402,1,1114,VISal4,1,0.21187744759900118,0.206861066770039,308.6153943416952,300.268178188049,0.13361027822262458,0.179241642679088
VISal,402,46,VISal,402,1,247,AUD,1,0.20632586964211783,0.205317957731027,294.3115551692688,292.418089635845,7.612425662725387,9.3209548641326
VISal,402,46,VISal,402,1,251,AUDp2/3,1,0.1977347283204158,0.197734731775451,213.24986651940876,213.249862772338,0.6042993772684346,0.786983559921569
VISal,402,46,VISal,402,1,1002,AUDp,1,0.19337333991108885,0.193373339911089,216.45534805625903,216.455348056259,2.689478360968875,3.41500003897549
VISal,402,46,VISal,402,1,1005,AUDp6b,1,0.18910183437576333,0.189101835426999,148.7322117378133,148.732211080139,0.06761334628223063,0.0726157509457796
VISal,402,46,VISal,402,1,312782578,VISli1,1,0.1759644338549834,0.175964434165258,192.05453650862458,192.05453207226,0.08444688096278051,0.110282700336465
VISal,402,46,VISal,402,1,1066,VISam2/3,1,0.17048964472411587,0.17048964118357,135.8238559240466,135.82385506462,0.2283512912072121,0.254673861324588
VISal,402,46,VISal,402,1,312782594,VISli6a,1,0.16604238760974113,0.166042387858215,142.9920841785776,142.992083529385,0.08526462933133795,0.0991163790741771
NOT,628,27,NOT,628,1,842,SCsg,1,0.20824948679413266,0.208249486416753,303.345184036668,303.34518345766,1.308595614051574,1.25335365004367
NOT,628,27,NOT,628,1,628,NOT,1,0.20111867951395576,0.171779756755902,421.4209587049902,332.794301591045,0.14485181041827858,0.148636539990988
NOT,628,27,NOT,628,1,302,SCs,1,0.1838664043640763,0.18386629618088,258.13471239037,258.134423389244,2.1612231783711064,2.13431141526905
NOT,628,27,NOT,628,1,1061,PPT,1,0.17694645600461048,0.150096706358882,398.5858480687153,321.38622157431,0.09176276141593039,0.106793714934564
NOT,628,27,NOT,628,1,834,SCzo,1,0.166662617962723,0.166662616852418,202.71923928814468,202.719241301934,0.328167011950706,0.326180699976376
NOT,628,27,NOT,628,1,851,SCop,1,0.14978285043320524,0.149782468643232,208.16232529240867,208.161414353789,0.524460552368828,0.55477706524901
NOT,628,27,NOT,628,1,706,OP,1,0.1460349193703051,0.12600560307232,269.7884062533163,223.259221674377,0.031590819242332834,0.0373740228379059
NOT,628,27,NOT,628,1,531,MPT,1,0.11195279800456853,0.110616707796219,174.83193069005787,172.615110078596,0.0258937906497978,0.0369650963836459
NOT,628,27,NOT,628,1,58,MT,1,0.11170736142690618,0.111707361450661,134.08830900503963,134.088310346418,0.0264003408229042,0.0290256338815889
