clean_feature_index,original_neuron_index,raw_mu_inanimate,raw_mu_animate,raw_contrast,normalized_contrast,abs_normalized_contrast,signed_log_abs_normalized_contrast
17845,17845,0.14290905,0.093015835,-0.049893215,-0.005272654,0.005272654,-1.0865744
36145,36145,0.035999995,0.105079345,0.069079354,0.005266232,0.005266232,1.0860887
26711,26711,0.058545437,0.13047618,0.07193074,0.0052644587,0.0052644587,1.0859543
19515,19515,0.050181802,0.1253968,0.075215,0.0052554356,0.0052554356,1.0852704
24988,24988,0.24836361,0.20920637,-0.03915724,-0.0052362643,0.0052362643,-1.0838139
27541,27541,0.114181794,0.05079364,-0.063388154,-0.0052332324,0.0052332324,-1.0835831
30029,30029,0.043999992,0.1196825,0.075682506,0.0052172444,0.0052172444,1.0823641
8022,8022,0.33199996,0.28666666,-0.045333296,-0.0052169636,0.0052169636,-1.0823426
38466,38466,0.061818153,0.13873015,0.076912,0.005203609,0.005203609,1.0813217
20703,20703,0.15599996,0.23650798,0.08050802,0.005193527,0.005193527,1.0805494
15340,15340,0.09672725,0.1749207,0.07819344,0.005193333,0.005193333,1.0805345
24458,24458,0.09709088,0.16761903,0.07052816,0.0051931674,0.0051931674,1.0805218
1001,1001,0.43963632,0.41047618,-0.029160142,-0.0051631033,0.0051631033,-1.0782104
23382,23382,0.06036363,0.13111107,0.070747435,0.005162119,0.005162119,1.0781344
2718,2718,0.14036362,0.09333331,-0.047030307,-0.0051600626,0.0051600626,-1.0779759
15168,15168,0.039636355,0.10952379,0.06988743,0.005158258,0.005158258,1.0778366
28341,28341,0.0861818,0.15555555,0.06937375,0.00515579,0.00515579,1.0776461
35978,35978,0.05890907,0.12793648,0.06902741,0.0051458087,0.0051458087,1.076875
35840,35840,0.13381816,0.085396804,-0.04842136,-0.005109059,0.005109059,-1.074024
28110,28110,0.14545451,0.09523807,-0.050216444,-0.0050562927,0.0050562927,-1.0698973
34912,34912,0.04618181,0.11428568,0.068103865,0.005054845,0.005054845,1.0697834
23528,23528,0.080727264,0.15206347,0.07133621,0.005037104,0.005037104,1.0683868
27353,27353,0.06509089,0.13555552,0.07046463,0.0050315335,0.0050315335,1.0679473
28431,28431,0.124363616,0.070793636,-0.05356998,-0.005026365,0.005026365,-1.0675392
28365,28365,0.08218181,0.14888886,0.066707045,0.0050215195,0.0050215195,1.0671562
984,984,0.23090906,0.18603173,-0.044877335,-0.0050208718,0.0050208718,-1.0671049
15331,15331,0.043636356,0.11587299,0.07223663,0.0050133187,0.0050133187,1.0665072
29197,29197,0.046181805,0.12095233,0.074770525,0.004993499,0.004993499,1.0649347
30198,30198,0.13599998,0.07714283,-0.05885715,-0.0049932906,0.0049932906,-1.0649182
4767,4767,0.08363633,0.15904757,0.075411245,0.0049910205,0.0049910205,1.0647377
1675,1675,0.12872724,0.2022222,0.073494956,0.004986996,0.004986996,1.0644175
1462,1462,0.12472724,0.07460315,-0.050124094,-0.004980118,0.004980118,-1.0638698
11001,11001,0.029454539,0.0974603,0.06800576,0.0049712574,0.0049712574,1.0631633
12745,12745,0.08836361,0.16000001,0.0716364,0.004969614,0.004969614,1.0630322
17742,17742,0.12145451,0.066031724,-0.055422783,-0.00494239,0.00494239,-1.0608534
1359,1359,0.12618178,0.06666664,-0.05951514,-0.004925563,0.004925563,-1.0595012
33485,33485,0.096363604,0.04285713,-0.053506475,-0.004906445,0.004906445,-1.0579597
27578,27578,0.121818155,0.07587298,-0.045945175,-0.0048891082,0.0048891082,-1.0565572
31772,31772,0.03781817,0.10253965,0.06472148,0.004869751,0.004869751,1.0549858
10998,10998,0.08472725,0.15238093,0.06765368,0.00486857,0.00486857,1.0548897
15151,15151,0.1650909,0.11587297,-0.049217932,-0.004867045,0.004867045,-1.0547657
1022,1022,0.08799998,0.029523805,-0.058476172,-0.0048643444,0.0048643444,-1.0545459
9355,9355,0.24254546,0.2063492,-0.03619626,-0.004857378,0.004857378,-1.0539784
5214,5214,0.09636361,0.16222218,0.065858565,0.004852592,0.004852592,1.0535882
37087,37087,0.19381818,0.27619046,0.08237228,0.0048453026,0.0048453026,1.0529929
15222,15222,0.34254545,0.31142846,-0.031116992,-0.0048311725,0.0048311725,-1.0518371
11926,11926,0.04472725,0.10952378,0.06479653,0.004819555,0.004819555,1.0508844
4866,4866,0.36218178,0.3368253,-0.025356472,-0.004819203,0.004819203,-1.0508554
23406,23406,0.13599998,0.20825401,0.07225403,0.0048155393,0.0048155393,1.0505545
114,114,0.18181819,0.13999997,-0.041818216,-0.0048012836,0.0048012836,-1.0493817
13534,13534,0.082909085,0.029841263,-0.053067822,-0.0047945483,0.0047945483,-1.0488265
38316,38316,0.15963638,0.11682536,-0.04281102,-0.0047918856,0.0047918856,-1.0486069
10018,10018,0.123272695,0.06825395,-0.055018745,-0.004791498,0.004791498,-1.0485748
37506,37506,0.06363635,0.12825395,0.064617604,0.0047874856,0.0047874856,1.0482435
23513,23513,0.053818174,0.11619045,0.062372275,0.004785475,0.004785475,1.0480775
27392,27392,0.10218181,0.048253946,-0.05392786,-0.0047782827,0.0047782827,-1.0474827
15385,15385,0.16472724,0.10920633,-0.055520914,-0.0047714887,0.0047714887,-1.0469203
25233,25233,0.10399998,0.16349207,0.05949209,0.004769434,0.004769434,1.0467501
31420,31420,0.06072726,0.123809494,0.06308223,0.004767451,0.004767451,1.0465856
38457,38457,0.063272715,0.12190473,0.058632016,0.0047576632,0.0047576632,1.0457733
24349,24349,0.06799998,0.13142855,0.06342857,0.00470531,0.00470531,1.0414025
28388,28388,0.053090893,0.115872994,0.0627821,0.004703004,0.004703004,1.041209
11234,11234,0.17781816,0.13269839,-0.045119777,-0.0046814354,0.0046814354,-1.0393946
34042,34042,0.10363633,0.16793649,0.06430016,0.004671851,0.004671851,1.0385859
430,430,0.039999984,0.099365056,0.05936507,0.0046687406,0.0046687406,1.0383232
1059,1059,0.28763637,0.25650796,-0.031128407,-0.0046683922,0.0046683922,-1.0382937
28842,28842,0.07709088,0.13936506,0.06227418,0.004661329,0.004661329,1.0376964
35828,35828,0.10690906,0.057142846,-0.049766213,-0.0046472615,0.0046472615,-1.0365043
35384,35384,0.061818168,0.1285714,0.06675324,0.0046396647,0.0046396647,1.0358591
34128,34128,0.11272726,0.05999998,-0.052727282,-0.0046332064,0.0046332064,-1.0353099
24551,24551,0.086909086,0.033968247,-0.052940838,-0.00463056,0.00463056,-1.0350846
28308,28308,0.0672727,0.1330158,0.065743096,0.004615361,0.004615361,1.0337887
6749,6749,0.07563634,0.1469841,0.07134776,0.004614859,0.004614859,1.0337458
23347,23347,0.2109091,0.16920634,-0.041702762,-0.0046131955,0.0046131955,-1.0336038
35264,35264,0.06509089,0.12920631,0.06411543,0.0046109725,0.0046109725,1.0334138
10814,10814,0.10545451,0.16952382,0.06406931,0.0046103066,0.0046103066,1.0333569
