perm_idx,accuracy,balanced_accuracy,auc
234,0.3305084745762712,0.32799422799422795,0.27215007215007214
235,0.3983050847457627,0.39725829725829725,0.35988455988455986
236,0.4491525423728814,0.4494949494949495,0.4285714285714286
237,0.4322033898305085,0.4313131313131313,0.4106782106782107
238,0.5423728813559322,0.5367965367965368,0.5604617604617604
239,0.4915254237288136,0.4926406926406926,0.42626262626262623
240,0.4152542372881356,0.4096681096681096,0.3965367965367965
241,0.5508474576271186,0.5516594516594516,0.5616161616161616
242,0.4576271186440678,0.4551226551226551,0.49408369408369407
243,0.5338983050847458,0.53001443001443,0.5780663780663781
244,0.5,0.49942279942279943,0.49812409812409814
245,0.5677966101694916,0.5663780663780664,0.5578643578643578
246,0.5677966101694916,0.5652236652236652,0.5904761904761905
247,0.5,0.49711399711399706,0.5460317460317461
248,0.5169491525423728,0.512987012987013,0.5203463203463203
249,0.4745762711864407,0.4733044733044733,0.4721500721500721
250,0.4830508474576271,0.4766233766233766,0.45194805194805193
251,0.5847457627118644,0.5776334776334776,0.5572871572871573
252,0.4576271186440678,0.4597402597402597,0.41385281385281386
253,0.5338983050847458,0.5323232323232323,0.5835497835497836
254,0.559322033898305,0.554978354978355,0.5367965367965368
255,0.5423728813559322,0.5402597402597402,0.5116883116883116
256,0.3813559322033898,0.3756132756132756,0.32784992784992784
257,0.5084745762711864,0.5096681096681096,0.49062049062049057
258,0.3813559322033898,0.38023088023088025,0.31139971139971145
259,0.5338983050847458,0.5334776334776334,0.49668109668109667
260,0.5423728813559322,0.5414141414141413,0.5313131313131313
261,0.288135593220339,0.286002886002886,0.24588744588744588
262,0.4152542372881356,0.41428571428571426,0.3711399711399711
263,0.559322033898305,0.5595959595959596,0.561038961038961
264,0.5508474576271186,0.5505050505050505,0.4718614718614718
265,0.3898305084745763,0.38585858585858585,0.3451659451659452
266,0.5338983050847458,0.5288600288600288,0.5154401154401155
267,0.4322033898305085,0.43246753246753245,0.40375180375180375
268,0.5423728813559322,0.5425685425685425,0.5668109668109668
269,0.4830508474576271,0.4823953823953824,0.4652236652236652
270,0.4152542372881356,0.4108225108225108,0.39855699855699855
271,0.5254237288135594,0.5209235209235209,0.5529581529581529
272,0.4661016949152542,0.46190476190476193,0.47215007215007215
273,0.3644067796610169,0.3608946608946609,0.30447330447330445
274,0.4661016949152542,0.4653679653679653,0.4585858585858586
275,0.4576271186440678,0.4562770562770563,0.4329004329004329
276,0.576271186440678,0.5731601731601732,0.578932178932179
277,0.5338983050847458,0.53001443001443,0.4984126984126984
278,0.6016949152542372,0.5992784992784992,0.6415584415584414
279,0.5338983050847458,0.5323232323232323,0.5209235209235209
280,0.4491525423728814,0.44718614718614713,0.4331890331890331
281,0.5338983050847458,0.5334776334776334,0.552958152958153
282,0.4322033898305085,0.4278499278499278,0.4072150072150072
283,0.5338983050847458,0.5288600288600288,0.5333333333333332
284,0.4576271186440678,0.45396825396825397,0.48311688311688317
