time,fluorescence,cell_specimen_id,ophys_experiment_id,experiment_container_id
2019.82853,219.98889,517471906,501704220,511510736
2019.86177,231.36667,517471906,501704220,511510736
2019.89502,221.86667,517471906,501704220,511510736
2019.92827,208.13333,517471906,501704220,511510736
2019.96151,225.0389,517471906,501704220,511510736
2019.99476,250.48889,517471906,501704220,511510736
2020.02801,214.45555,517471906,501704220,511510736
2020.06125,223.62222,517471906,501704220,511510736
2020.0945,222.74445,517471906,501704220,511510736
2020.12775,231.91667,517471906,501704220,511510736
2020.16099,226.59445,517471906,501704220,511510736
2020.19424,239.2111,517471906,501704220,511510736
2020.22749,239.71666,517471906,501704220,511510736
2020.26073,232.86111,517471906,501704220,511510736
2020.29398,231.82222,517471906,501704220,511510736
2020.32723,245.08333,517471906,501704220,511510736
2020.36047,212.56667,517471906,501704220,511510736
2020.39372,234.90555,517471906,501704220,511510736
2020.42697,228.95555,517471906,501704220,511510736
2020.46021,232.99445,517471906,501704220,511510736
2020.49346,225.61667,517471906,501704220,511510736
2020.52671,219.68333,517471906,501704220,511510736
2020.55996,219.4611,517471906,501704220,511510736
2020.5932,214.61667,517471906,501704220,511510736
2020.62645,230.5389,517471906,501704220,511510736
2020.6597,226.45,517471906,501704220,511510736
2020.69294,234.62778,517471906,501704220,511510736
2020.72619,225.48334,517471906,501704220,511510736
2020.75944,226.38333,517471906,501704220,511510736
2020.79268,220.92223,517471906,501704220,511510736
2020.82593,215.92223,517471906,501704220,511510736
2020.85918,227.6,517471906,501704220,511510736
2020.89242,217.68889,517471906,501704220,511510736
2020.92567,218.52777,517471906,501704220,511510736
2020.95892,231.11111,517471906,501704220,511510736
2020.99216,232.61667,517471906,501704220,511510736
2021.02541,229.03334,517471906,501704220,511510736
2021.05866,232.52222,517471906,501704220,511510736
2021.0919,212.67223,517471906,501704220,511510736
2021.12515,230.73334,517471906,501704220,511510736
2021.1584,208.05,517471906,501704220,511510736
2021.19164,225.4611,517471906,501704220,511510736
2021.22489,236.01666,517471906,501704220,511510736
2021.25814,221.18889,517471906,501704220,511510736
2021.29138,220.2,517471906,501704220,511510736
2021.32463,233.9,517471906,501704220,511510736
2021.35788,222.68333,517471906,501704220,511510736
2021.39112,209.73889,517471906,501704220,511510736
2021.42437,213.25,517471906,501704220,511510736
2021.45762,223.40555,517471906,501704220,511510736
2021.49087,207.25,517471906,501704220,511510736
2021.52411,236.89444,517471906,501704220,511510736
2021.55736,222.4,517471906,501704220,511510736
2021.59061,213.88333,517471906,501704220,511510736
2021.62385,203.53334,517471906,501704220,511510736
2021.6571,218.4611,517471906,501704220,511510736
2021.69035,224.59445,517471906,501704220,511510736
2021.72359,223.37778,517471906,501704220,511510736
2021.75684,216.02777,517471906,501704220,511510736
2021.79009,215.91112,517471906,501704220,511510736
2021.82333,233.66667,517471906,501704220,511510736
2021.85658,224.93889,517471906,501704220,511510736
2021.88983,215.51111,517471906,501704220,511510736
2021.92307,229.2889,517471906,501704220,511510736
2021.95632,215.45555,517471906,501704220,511510736
2021.98957,217.17778,517471906,501704220,511510736
2022.02281,214.09445,517471906,501704220,511510736
2022.05606,236.13889,517471906,501704220,511510736
2022.08931,234.85,517471906,501704220,511510736
2022.12255,223.13889,517471906,501704220,511510736
2022.1558,213.24445,517471906,501704220,511510736
2022.18905,212.99445,517471906,501704220,511510736
2022.22229,235.01666,517471906,501704220,511510736
2022.25554,223.85556,517471906,501704220,511510736
2022.28879,209.16667,517471906,501704220,511510736
2022.32203,225.40555,517471906,501704220,511510736
2022.35528,230.47778,517471906,501704220,511510736
2022.38853,217.58888,517471906,501704220,511510736
2022.42178,211.61111,517471906,501704220,511510736
2022.45502,216.84445,517471906,501704220,511510736
2022.48827,218.7889,517471906,501704220,511510736
2022.52152,218.41112,517471906,501704220,511510736
2022.55476,217.97223,517471906,501704220,511510736
2022.58801,230.91112,517471906,501704220,511510736
2022.62126,232.29445,517471906,501704220,511510736
2022.6545,222.31111,517471906,501704220,511510736
2022.68775,223.76111,517471906,501704220,511510736
2022.721,226.77222,517471906,501704220,511510736
2022.75424,221.28334,517471906,501704220,511510736
2022.78749,212.5,517471906,501704220,511510736
2022.82074,234.32222,517471906,501704220,511510736
2022.85398,224.91112,517471906,501704220,511510736
2022.88723,225.58888,517471906,501704220,511510736
2022.92048,216.66667,517471906,501704220,511510736
2022.95372,220.53334,517471906,501704220,511510736
2022.98697,226.75,517471906,501704220,511510736
2023.02022,223.6,517471906,501704220,511510736
2023.05346,217.39444,517471906,501704220,511510736
2023.08671,205.13889,517471906,501704220,511510736
2023.11996,221.1,517471906,501704220,511510736
2023.1532,232.12222,517471906,501704220,511510736
2023.18645,236.48889,517471906,501704220,511510736
2023.2197,229.15555,517471906,501704220,511510736
2023.25294,241.40555,517471906,501704220,511510736
2023.28619,232.50555,517471906,501704220,511510736
2023.31944,250.47778,517471906,501704220,511510736
2023.35268,246.28334,517471906,501704220,511510736
2023.38593,228.63333,517471906,501704220,511510736
2023.41918,249.52222,517471906,501704220,511510736
2023.45243,222.91112,517471906,501704220,511510736
2023.48567,242.02777,517471906,501704220,511510736
2023.51892,218.86111,517471906,501704220,511510736
2023.55217,227.87778,517471906,501704220,511510736
2023.58541,224.81111,517471906,501704220,511510736
2023.61866,236.57222,517471906,501704220,511510736
2023.65191,232.44444,517471906,501704220,511510736
2023.68515,225.65555,517471906,501704220,511510736
2023.7184,226.2889,517471906,501704220,511510736
2023.75165,227.15,517471906,501704220,511510736
2023.78489,251.38889,517471906,501704220,511510736
2023.81814,211.90555,517471906,501704220,511510736
2023.85139,221.95555,517471906,501704220,511510736
2023.88463,234.96666,517471906,501704220,511510736
2023.91788,216.7,517471906,501704220,511510736
2023.95113,228.6,517471906,501704220,511510736
2023.98437,225.68333,517471906,501704220,511510736
2024.01762,226.62222,517471906,501704220,511510736
2024.05087,223.35,517471906,501704220,511510736
2024.08411,223.98889,517471906,501704220,511510736
2024.11736,231.11667,517471906,501704220,511510736
2024.15061,222.90555,517471906,501704220,511510736
2024.18385,233.44444,517471906,501704220,511510736
2024.2171,227.9,517471906,501704220,511510736
2024.25035,215.31111,517471906,501704220,511510736
2024.28359,237.13333,517471906,501704220,511510736
2024.31684,216.27777,517471906,501704220,511510736
2024.35009,228.52777,517471906,501704220,511510736
2024.38334,211.31111,517471906,501704220,511510736
2024.41658,242.75,517471906,501704220,511510736
2024.44983,245.81111,517471906,501704220,511510736
2024.48308,245.88333,517471906,501704220,511510736
2024.51632,225.75,517471906,501704220,511510736
2024.54957,240.81667,517471906,501704220,511510736
2024.58282,234.63889,517471906,501704220,511510736
2024.61606,226.74445,517471906,501704220,511510736
2024.64931,206.26666,517471906,501704220,511510736
2024.68256,223.76666,517471906,501704220,511510736
2024.7158,231.33888,517471906,501704220,511510736
2024.74905,230.67778,517471906,501704220,511510736
2024.7823,222.25555,517471906,501704220,511510736
2024.81554,210.67223,517471906,501704220,511510736
2024.84879,211.56667,517471906,501704220,511510736
2024.88204,219.4,517471906,501704220,511510736
2024.91528,211.2111,517471906,501704220,511510736
2024.94853,221.52777,517471906,501704220,511510736
2024.98178,245.56667,517471906,501704220,511510736
2025.01502,229.5389,517471906,501704220,511510736
2025.04827,215.69444,517471906,501704220,511510736
2025.08152,218.61667,517471906,501704220,511510736
2025.11476,234.81111,517471906,501704220,511510736
2025.14801,221.74445,517471906,501704220,511510736
2025.18126,219.62222,517471906,501704220,511510736
2025.2145,204.15555,517471906,501704220,511510736
2025.24775,239.27777,517471906,501704220,511510736
2025.281,219.78334,517471906,501704220,511510736
2025.31425,231.44444,517471906,501704220,511510736
2025.34749,229.41112,517471906,501704220,511510736
2025.38074,227.87778,517471906,501704220,511510736
2025.41399,234.45555,517471906,501704220,511510736
2025.44723,228.78334,517471906,501704220,511510736
2025.48048,230.30556,517471906,501704220,511510736
2025.51373,216.97223,517471906,501704220,511510736
2025.54697,235.12778,517471906,501704220,511510736
2025.58022,245.65,517471906,501704220,511510736
2025.61347,221.67778,517471906,501704220,511510736
2025.64671,268.20557,517471906,501704220,511510736
2025.67996,254.61111,517471906,501704220,511510736
2025.71321,228.73889,517471906,501704220,511510736
2025.74645,260.81668,517471906,501704220,511510736
2025.7797,248.25,517471906,501704220,511510736
2025.81295,225.92223,517471906,501704220,511510736
2025.84619,247.12222,517471906,501704220,511510736
2025.87944,229.52222,517471906,501704220,511510736
2025.91269,247.67778,517471906,501704220,511510736
2025.94593,250.31667,517471906,501704220,511510736
2025.97918,229.20555,517471906,501704220,511510736
2026.01243,249.11111,517471906,501704220,511510736
2026.04567,252.54445,517471906,501704220,511510736
2026.07892,255.38889,517471906,501704220,511510736
2026.11217,239.16112,517471906,501704220,511510736
2026.14541,230.70555,517471906,501704220,511510736
2026.17866,226.37222,517471906,501704220,511510736
2026.21191,237.67223,517471906,501704220,511510736
2026.24516,228.76111,517471906,501704220,511510736
2026.2784,243.25555,517471906,501704220,511510736
2026.31165,244.72778,517471906,501704220,511510736
2026.3449,220.74445,517471906,501704220,511510736
2026.37814,203.69444,517471906,501704220,511510736
2026.41139,215.27222,517471906,501704220,511510736
2026.44464,233.85556,517471906,501704220,511510736
2026.47788,225.72778,517471906,501704220,511510736
2026.51113,242.13889,517471906,501704220,511510736
2026.54438,239.88889,517471906,501704220,511510736
2026.57762,247.75555,517471906,501704220,511510736
2026.61087,253.78334,517471906,501704220,511510736
2026.64412,256.32224,517471906,501704220,511510736
2026.67736,257.54443,517471906,501704220,511510736
2026.71061,246.37222,517471906,501704220,511510736
2026.74386,260.8,517471906,501704220,511510736
2026.7771,238.25555,517471906,501704220,511510736
2026.81035,272.7611,517471906,501704220,511510736
2026.8436,246.13889,517471906,501704220,511510736
2026.87684,236.68333,517471906,501704220,511510736
2026.91009,256.49445,517471906,501704220,511510736
2026.94334,255.77222,517471906,501704220,511510736
2026.97658,234.97223,517471906,501704220,511510736
2027.00983,238.47223,517471906,501704220,511510736
2027.04308,239.38333,517471906,501704220,511510736
2027.07632,258.8889,517471906,501704220,511510736
2027.10957,247.98334,517471906,501704220,511510736
2027.14282,233.85556,517471906,501704220,511510736
2027.17607,238.51111,517471906,501704220,511510736
2027.20931,247.33333,517471906,501704220,511510736
2027.24256,241.38889,517471906,501704220,511510736
2027.27581,230.30556,517471906,501704220,511510736
2027.30905,238.16667,517471906,501704220,511510736
2027.3423,250.86111,517471906,501704220,511510736
2027.37555,233.61667,517471906,501704220,511510736
2027.40879,232.17223,517471906,501704220,511510736
2027.44204,249.16667,517471906,501704220,511510736
2027.47529,240.69444,517471906,501704220,511510736
2027.50853,233.50555,517471906,501704220,511510736
2027.54178,243.47223,517471906,501704220,511510736
2027.57503,235.66667,517471906,501704220,511510736
2027.60827,226.62778,517471906,501704220,511510736
2027.64152,227.55556,517471906,501704220,511510736
2027.67477,252.68889,517471906,501704220,511510736
2027.70801,300.12778,517471906,501704220,511510736
2027.74126,364.88333,517471906,501704220,511510736
