heldout_stimulus_index,heldout_true_label,k,added_pool_index,added_clean_feature_index,added_original_neuron_index,train_accuracy,train_balanced_accuracy,heldout_score,heldout_pred,heldout_correct,candidate_single_train_balanced_accuracy
55,1,3,274,32986,32986,0.8290598290598291,0.8366568914956012,0.022655589506030083,1,1,0.6409090757369995
55,1,4,211,3374,3374,0.8376068376068376,0.8457478005865102,0.022306010127067566,1,1,0.644868016242981
55,1,5,983,38542,38542,0.8461538461538461,0.8538123167155425,0.02255845069885254,1,1,0.6167155504226685
55,1,6,464,22369,22369,0.8632478632478633,0.869941348973607,0.022132210433483124,1,1,0.6307917833328247
55,1,7,231,22025,22025,0.8717948717948718,0.8780058651026392,0.022719349712133408,1,1,0.6438416242599487
56,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
56,1,2,408,13709,13709,0.7948717948717948,0.8043988269794722,0.006337443366646767,1,1,0.6340175867080688
56,1,3,423,8539,8539,0.811965811965812,0.8215542521994135,0.006354154087603092,1,1,0.633431077003479
56,1,4,175,32986,32986,0.8376068376068376,0.8457478005865102,0.005896568764001131,1,1,0.6489735841751099
56,1,5,37,9738,9738,0.8461538461538461,0.8538123167155425,0.006414495874196291,1,1,0.670087993144989
56,1,6,60,6359,6359,0.8547008547008547,0.8618768328445747,0.006825110875070095,1,1,0.6658357977867126
56,1,7,33,18738,18738,0.8632478632478633,0.869941348973607,0.006960583850741386,1,1,0.6709677577018738
57,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.0036905270535498857,0,0,0.7529325485229492
57,1,2,84,29128,29128,0.7948717948717948,0.8013196480938416,-0.004169431980699301,0,0,0.6580645442008972
57,1,3,642,8916,8916,0.8290598290598291,0.8356304985337244,-0.0033739281352609396,0,0,0.6247800588607788
57,1,4,472,26585,26585,0.8632478632478633,0.8689149560117302,-0.00307242339476943,0,0,0.6299120187759399
57,1,5,150,32986,32986,0.8717948717948718,0.8769794721407624,-0.0031862978357821703,0,0,0.6489735841751099
57,1,6,399,3871,3871,0.8803418803418803,0.8860703812316715,-0.0027919053100049496,0,0,0.6335777044296265
58,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.0036905270535498857,0,0,0.7529325485229492
58,1,2,157,29128,29128,0.7948717948717948,0.8013196480938416,-0.0035247732885181904,0,0,0.6499999761581421
58,1,3,882,14236,14236,0.8290598290598291,0.8356304985337244,-0.0037727435119450092,0,0,0.6195014715194702
58,1,4,844,6365,6365,0.8376068376068376,0.8447214076246334,-0.0037583191879093647,0,0,0.620381236076355
58,1,5,212,18285,18285,0.8547008547008547,0.8618768328445747,-0.003932270221412182,0,0,0.6457477807998657
58,1,6,330,29382,29382,0.8632478632478633,0.869941348973607,-0.003583377692848444,0,0,0.6376832723617554
59,0,1,0,35669,35669,0.7350427350427351,0.7473544973544974,-0.0035374120343476534,0,1,0.7473545074462891
59,0,2,113,29128,29128,0.7863247863247863,0.794973544973545,-0.004625874571502209,0,1,0.6521164178848267
59,0,3,954,6365,6365,0.8205128205128205,0.8306878306878307,-0.0050443666987121105,0,1,0.6164020895957947
59,0,4,952,39131,39131,0.8461538461538461,0.8558201058201058,-0.005492487922310829,0,1,0.6164020895957947
59,0,5,433,30620,30620,0.8547008547008547,0.8637566137566137,-0.0057290359400212765,0,1,0.6309523582458496
59,0,6,180,36590,36590,0.8632478632478633,0.8716931216931216,-0.005457267630845308,0,1,0.6455026268959045
59,0,7,24,38926,38926,0.8717948717948718,0.8796296296296297,-0.005638673435896635,0,1,0.6732804179191589
59,0,8,598,18392,18392,0.8803418803418803,0.8875661375661376,-0.006160466931760311,0,1,0.6243386268615723
60,0,1,0,35669,35669,0.7350427350427351,0.7473544973544974,-0.001246485742740333,0,1,0.7473545074462891
60,0,2,69,29128,29128,0.7863247863247863,0.794973544973545,-0.001070633763447404,0,1,0.6613756418228149
60,0,3,587,6365,6365,0.8205128205128205,0.8306878306878307,-0.0005999236600473523,0,1,0.6256613731384277
60,0,4,586,39131,39131,0.8461538461538461,0.8558201058201058,-0.0002033653436228633,0,1,0.6256613731384277
60,0,5,387,20561,20561,0.8547008547008547,0.8637566137566137,0.000381052668672055,1,0,0.6335979104042053
60,0,6,383,26585,26585,0.8717948717948718,0.8796296296296297,0.0002457053051330149,1,0,0.6335979104042053
60,0,7,37,9738,9738,0.8803418803418803,0.8875661375661376,-3.705098060891032e-05,0,1,0.670634925365448
60,0,8,263,34649,34649,0.8888888888888888,0.8955026455026456,-0.0005795874167233706,0,1,0.6415343880653381
60,0,9,363,21714,21714,0.8974358974358975,0.9047619047619048,0.0003670104197226465,1,0,0.6349206566810608
60,0,10,986,19557,19557,0.9145299145299145,0.9206349206349207,0.0002906312874983996,1,0,0.6164020895957947
60,0,11,151,27774,27774,0.9316239316239316,0.9365079365079365,0.0002486743906047195,1,0,0.6494709253311157
60,0,12,436,37367,37367,0.9401709401709402,0.9444444444444444,0.0012585357762873173,1,0,0.6309523582458496
61,0,1,0,35669,35669,0.7350427350427351,0.7473544973544974,-0.004660448059439659,0,1,0.7473545074462891
61,0,2,64,29128,29128,0.7863247863247863,0.794973544973545,-0.0038300107698887587,0,1,0.6613756418228149
61,0,3,598,6365,6365,0.8205128205128205,0.8306878306878307,-0.0033593005500733852,0,1,0.6256613731384277
61,0,4,902,37075,37075,0.8461538461538461,0.8558201058201058,-0.0022098408080637455,0,1,0.6177248954772949
61,0,5,13,36380,36380,0.8547008547008547,0.8637566137566137,-0.0024823397397994995,0,1,0.6785714030265808
61,0,6,507,15230,15230,0.8632478632478633,0.8716931216931216,-0.002478749491274357,0,1,0.6296296119689941
